expression	H3K27me3	H3K4me3	H3K27ac	H3K36me3
15.1736	4.26	21.49	3.63	3.31
11.3574	4.26	21.49	3.63	3.31
11.3574	1.70	3.10	10.68	8.54
1.2627	0.92	9.38	17.29	1.59
14.375	0.92	9.38	17.29	1.59
10.7152	0.92	9.38	17.29	1.59
71.3573	0.92	9.38	17.29	1.59
2.0835	0.92	9.38	17.29	1.59
1.2627	1.20	2.46	10.52	7.41
14.375	1.20	2.46	10.52	7.41
0.392199	1.20	2.46	10.52	7.41
10.7152	1.20	2.46	10.52	7.41
71.3573	1.20	2.46	10.52	7.41
7.39274	1.20	2.46	10.52	7.41
2.0835	1.20	2.46	10.52	7.41
120.244	1.37	3.82	10.98	4.69
21.2217	1.37	3.82	10.98	4.69
1.2627	7.79	27.95	5.68	2.42
14.375	7.79	27.95	5.68	2.42
0.392199	7.79	27.95	5.68	2.42
10.7152	7.79	27.95	5.68	2.42
71.3573	7.79	27.95	5.68	2.42
7.39274	7.79	27.95	5.68	2.42
2.0835	7.79	27.95	5.68	2.42
1.2627	1.60	29.94	3.42	2.16
14.375	1.60	29.94	3.42	2.16
0.392199	1.60	29.94	3.42	2.16
71.3573	1.60	29.94	3.42	2.16
109.293	1.60	29.94	3.42	2.16
7.39274	1.60	29.94	3.42	2.16
2.0835	1.60	29.94	3.42	2.16
61.3916	4.37	28.64	11.76	2.61
3.31511	6.70	20.29	2.59	2.15
3.31511	0.93	58.19	9.34	2.00
0.271019	0.93	58.19	9.34	2.00
0	0.93	58.19	9.34	2.00
13.0855	0.93	58.19	9.34	2.00
3.31511	1.10	20.46	10.92	1.72
0	1.10	20.46	10.92	1.72
13.0855	1.10	20.46	10.92	1.72
0	1.92	11.07	9.15	2.84
13.0855	1.92	11.07	9.15	2.84
0	12.51	22.15	3.04	2.60
0.0529411	12.85	2.98	1.49	2.37
28.0155	0.58	2.45	13.22	4.49
28.0155	2.71	11.21	8.05	2.29
25.3793	2.71	11.21	8.05	2.29
23.8221	2.71	11.21	8.05	2.29
13.6611	2.71	11.21	8.05	2.29
25.3793	1.42	2.93	8.02	2.95
4.15362	1.42	2.93	8.02	2.95
10.1543	1.42	2.93	8.02	2.95
729.686	1.42	2.93	8.02	2.95
16.5234	1.42	2.93	8.02	2.95
13.6611	1.42	2.93	8.02	2.95
25.3793	1.46	2.73	7.57	2.54
10.1543	1.46	2.73	7.57	2.54
729.686	1.46	2.73	7.57	2.54
16.5234	1.46	2.73	7.57	2.54
23.8221	1.46	2.73	7.57	2.54
13.6611	1.46	2.73	7.57	2.54
4.15362	1.60	4.24	12.55	2.16
16.5234	1.60	4.24	12.55	2.16
25.3793	3.26	9.69	5.86	5.29
4.15362	3.26	9.69	5.86	5.29
10.1543	3.26	9.69	5.86	5.29
729.686	3.26	9.69	5.86	5.29
16.5234	3.26	9.69	5.86	5.29
23.8221	3.26	9.69	5.86	5.29
13.6611	3.26	9.69	5.86	5.29
44.629	1.49	3.97	7.99	10.07
4.15362	1.49	3.97	7.99	10.07
10.1543	1.49	3.97	7.99	10.07
16.5234	1.49	3.97	7.99	10.07
3.74739	1.49	3.97	7.99	10.07
44.629	0.81	6.68	13.70	11.94
25.3793	0.81	6.68	13.70	11.94
4.15362	0.81	6.68	13.70	11.94
10.1543	0.81	6.68	13.70	11.94
16.5234	0.81	6.68	13.70	11.94
13.6611	0.81	6.68	13.70	11.94
3.74739	0.81	6.68	13.70	11.94
44.629	0.57	8.44	16.50	1.56
4.15362	0.57	8.44	16.50	1.56
10.1543	0.57	8.44	16.50	1.56
16.5234	0.57	8.44	16.50	1.56
3.74739	0.57	8.44	16.50	1.56
9.48413	3.00	87.34	4.66	1.25
0.0202346	3.00	87.34	4.66	1.25
24.014	0.98	28.20	6.55	3.05
24.014	2.30	2.17	10.37	16.93
24.014	0.82	26.64	12.65	8.69
0.4014	29.22	16.90	2.24	3.20
115.197	0.80	30.72	4.50	2.69
115.197	1.19	4.25	13.52	8.65
115.197	1.31	8.65	8.84	8.75
0.208041	1.25	15.72	7.97	8.65
115.197	1.25	15.72	7.97	8.65
9.30015	1.25	15.72	7.97	8.65
0.0102727	45.77	7.76	3.44	2.37
0.0102727	26.46	7.53	2.44	2.69
0.208041	1.57	31.65	2.46	3.14
11.4473	1.57	31.65	2.46	3.14
4.29207	1.57	31.65	2.46	3.14
0.88208	1.57	31.65	2.46	3.14
9.30015	1.57	31.65	2.46	3.14
0.208041	1.49	24.82	5.52	4.15
11.4473	1.49	24.82	5.52	4.15
4.29207	1.49	24.82	5.52	4.15
0.88208	1.49	24.82	5.52	4.15
9.30015	1.49	24.82	5.52	4.15
11.4473	2.38	11.93	7.09	1.57
4.29207	2.38	11.93	7.09	1.57
6.37011	2.38	11.93	7.09	1.57
11.4473	1.68	61.24	4.99	2.53
4.29207	1.68	61.24	4.99	2.53
6.37011	1.68	61.24	4.99	2.53
11.4473	1.21	22.47	4.54	3.56
4.29207	1.21	22.47	4.54	3.56
6.37011	1.21	22.47	4.54	3.56
11.4473	0.99	35.98	4.26	3.62
4.29207	0.99	35.98	4.26	3.62
6.37011	0.99	35.98	4.26	3.62
11.4473	1.50	6.79	5.34	2.37
4.29207	1.50	6.79	5.34	2.37
6.37011	1.50	6.79	5.34	2.37
6.37011	0.89	9.36	7.00	2.82
6.37011	1.47	42.61	9.98	2.66
6.37011	1.62	15.80	3.48	0.39
6.37011	3.82	28.58	5.58	2.47
23.5441	5.32	20.72	4.25	2.42
6.37011	5.32	20.72	4.25	2.42
23.5441	1.17	4.23	7.53	3.05
84.4473	1.23	32.22	3.24	1.32
67.3166	1.72	35.66	9.65	1.15
84.4473	1.72	35.66	9.65	1.15
84.4473	3.10	4.29	8.77	4.75
24.014	0.53	19.21	8.84	3.88
11.2412	0.53	19.21	8.84	3.88
84.4473	1.78	31.53	13.75	1.51
84.4473	1.31	19.82	12.77	1.63
84.4473	1.28	3.91	8.13	2.25
84.4473	1.18	8.02	9.80	1.43
84.4473	0.81	48.90	6.72	1.93
84.4473	1.59	51.94	12.03	3.08
0.288492	37.60	39.99	2.39	3.41
0.288492	16.10	1.33	3.14	6.31
0	15.19	24.34	2.48	1.63
0.00696333	15.19	24.34	2.48	1.63
0.288492	15.19	24.34	2.48	1.63
0	33.48	18.32	2.89	3.31
0.00696333	33.48	18.32	2.89	3.31
0.00696333	10.25	4.04	4.32	2.26
0	12.86	3.29	4.31	2.64
0.00696333	12.86	3.29	4.31	2.64
0	18.31	26.74	3.48	4.03
0.00696333	18.31	26.74	3.48	4.03
0	1.82	24.18	5.75	2.49
0	14.20	19.52	4.06	1.53
0.00696333	14.20	19.52	4.06	1.53
0	13.95	188.91	7.00	2.62
0.00696333	13.95	188.91	7.00	2.62
0	45.89	20.43	3.74	2.39
0.00696333	45.89	20.43	3.74	2.39
0	15.27	4.05	2.91	1.87
0.0719261	15.27	4.05	2.91	1.87
0.00696333	15.27	4.05	2.91	1.87
0.0160946	15.27	4.05	2.91	1.87
0	42.75	11.08	3.83	2.42
0.0719261	42.75	11.08	3.83	2.42
0.00696333	42.75	11.08	3.83	2.42
0.0160946	42.75	11.08	3.83	2.42
0	30.66	26.66	3.07	2.29
0.0719261	30.66	26.66	3.07	2.29
0.00696333	30.66	26.66	3.07	2.29
0.0160946	30.66	26.66	3.07	2.29
0	45.31	5.25	3.26	2.59
0.0719261	45.31	5.25	3.26	2.59
0.00696333	45.31	5.25	3.26	2.59
0.0160946	45.31	5.25	3.26	2.59
0	44.90	5.05	2.97	3.01
0.0719261	44.90	5.05	2.97	3.01
0.00696333	44.90	5.05	2.97	3.01
0.0160946	44.90	5.05	2.97	3.01
0	21.54	33.79	1.79	2.94
