expression	H3K27me3	H3K4me3	H3K27ac	H3K36me3
60.4377	2.13	5.58	7.00	2.51
76.6415	2.13	5.58	7.00	2.51
218.445	2.13	5.58	7.00	2.51
236.104	2.13	5.58	7.00	2.51
14.7206	2.13	5.58	7.00	2.51
105.716	2.13	5.58	7.00	2.51
5.21413	0.75	5.35	9.23	2.17
0.355698	0.75	5.35	9.23	2.17
44.9931	0.75	5.35	9.23	2.17
0	0.75	5.35	9.23	2.17
60.4377	0.75	5.35	9.23	2.17
76.6415	0.75	5.35	9.23	2.17
218.445	0.75	5.35	9.23	2.17
236.104	0.75	5.35	9.23	2.17
14.7206	0.75	5.35	9.23	2.17
14.3878	0.75	5.35	9.23	2.17
105.716	0.75	5.35	9.23	2.17
5.21413	0.83	2.88	6.98	9.90
0.355698	0.83	2.88	6.98	9.90
0.0906337	0.83	2.88	6.98	9.90
44.9931	0.83	2.88	6.98	9.90
0	0.83	2.88	6.98	9.90
60.4377	0.83	2.88	6.98	9.90
128.171	0.83	2.88	6.98	9.90
76.6415	0.83	2.88	6.98	9.90
218.445	0.83	2.88	6.98	9.90
236.104	0.83	2.88	6.98	9.90
14.7206	0.83	2.88	6.98	9.90
11.6215	0.83	2.88	6.98	9.90
11.9485	0.83	2.88	6.98	9.90
26.9745	0.83	2.88	6.98	9.90
14.3878	0.83	2.88	6.98	9.90
105.716	0.83	2.88	6.98	9.90
135.429	1.22	2.53	7.64	16.63
9.76308	1.22	2.53	7.64	16.63
8.60503	1.22	2.53	7.64	16.63
12.8818	1.22	2.53	7.64	16.63
10.2408	1.22	2.53	7.64	16.63
8.26475	1.22	2.53	7.64	16.63
1502.3	1.22	2.53	7.64	16.63
68.0082	1.22	2.53	7.64	16.63
6.62411	1.22	2.53	7.64	16.63
20.7912	1.22	2.53	7.64	16.63
0.897231	1.22	2.53	7.64	16.63
2.41049e-06	1.22	2.53	7.64	16.63
51.9117	1.22	2.53	7.64	16.63
22.4152	1.22	2.53	7.64	16.63
185.2	1.22	2.53	7.64	16.63
35.4717	1.22	2.53	7.64	16.63
8.60503	2.11	3.74	8.80	3.42
1502.3	2.11	3.74	8.80	3.42
51.9117	2.11	3.74	8.80	3.42
135.429	0.97	6.36	14.96	2.69
9.76308	0.97	6.36	14.96	2.69
8.60503	0.97	6.36	14.96	2.69
12.8818	0.97	6.36	14.96	2.69
10.2408	0.97	6.36	14.96	2.69
8.26475	0.97	6.36	14.96	2.69
1502.3	0.97	6.36	14.96	2.69
6.62411	0.97	6.36	14.96	2.69
0.897231	0.97	6.36	14.96	2.69
2.41049e-06	0.97	6.36	14.96	2.69
51.9117	0.97	6.36	14.96	2.69
22.4152	0.97	6.36	14.96	2.69
35.4717	0.97	6.36	14.96	2.69
8.60503	1.74	22.62	8.94	1.92
12.8818	1.74	22.62	8.94	1.92
10.2408	1.74	22.62	8.94	1.92
8.26475	1.74	22.62	8.94	1.92
1502.3	1.74	22.62	8.94	1.92
68.0082	1.74	22.62	8.94	1.92
6.62411	1.74	22.62	8.94	1.92
0.897231	1.74	22.62	8.94	1.92
51.9117	1.74	22.62	8.94	1.92
22.4152	1.74	22.62	8.94	1.92
135.429	1.63	3.25	9.37	3.53
9.76308	1.63	3.25	9.37	3.53
8.60503	1.63	3.25	9.37	3.53
12.8818	1.63	3.25	9.37	3.53
10.2408	1.63	3.25	9.37	3.53
8.26475	1.63	3.25	9.37	3.53
1502.3	1.63	3.25	9.37	3.53
68.0082	1.63	3.25	9.37	3.53
6.62411	1.63	3.25	9.37	3.53
20.7912	1.63	3.25	9.37	3.53
0.897231	1.63	3.25	9.37	3.53
2.41049e-06	1.63	3.25	9.37	3.53
51.9117	1.63	3.25	9.37	3.53
22.4152	1.63	3.25	9.37	3.53
563.153	4.04	14.96	3.56	2.95
46.8749	4.04	14.96	3.56	2.95
563.153	1.28	7.59	9.99	1.44
46.8749	1.28	7.59	9.99	1.44
563.153	4.32	37.85	3.63	2.68
46.8749	4.32	37.85	3.63	2.68
