expression	H3K27me3	H3K4me3	H3K27ac	H3K36me3
0.569169	1.21	105.65	4.42	1.86
0.731019	1.21	105.65	4.42	1.86
24.2759	1.78	100.20	9.69	2.43
0.22146	35.55	21.45	2.61	1.97
0.00204473	35.55	21.45	2.61	1.97
47.0285	1.43	81.75	7.64	4.33
14.5261	2.72	56.90	8.96	1.75
6.35568	1.58	119.08	9.44	1.81
1290.26	1.44	133.23	10.92	10.84
48.4695	1.44	133.23	10.92	10.84
7.28376	1.47	112.62	13.00	5.59
5.44847	1.08	66.21	6.12	2.02
7.84063	1.79	93.81	6.98	1.06
60.296	0.59	65.27	10.78	9.99
17.3305	0.59	65.27	10.78	9.99
1.65242	1.66	103.49	9.13	1.95
3.76076	0.97	88.15	5.61	1.11
11.7774	1.19	112.65	14.60	3.11
2.55948	0.60	15.90	1.47	0.20
1.91558	1.62	47.25	11.22	3.19
6.42231	0.52	59.14	6.45	1.41
33.7569	1.77	106.26	10.92	0.69
29.4491	1.48	78.51	7.60	4.10
56.9566	1.48	78.51	7.60	4.10
6.87559	1.74	58.43	6.66	1.77
9.41662	1.22	121.12	6.59	1.17
3.09176	1.22	121.12	6.59	1.17
31.7151	2.42	28.36	8.54	2.22
140.852	0.73	93.00	10.38	3.82
20.9539	1.15	66.38	9.34	5.87
6.05813	1.69	51.11	7.57	1.95
7.17073	1.90	50.17	6.50	2.16
2.00817	1.90	50.17	6.50	2.16
284.981	0.93	75.80	8.98	4.86
2.33531	6.44	74.25	4.40	2.27
58.7519	1.66	107.28	13.14	2.48
554.647	1.23	81.88	8.36	6.53
33.5065	1.09	94.05	9.84	2.79
62.3174	1.21	55.16	14.86	5.58
13.2407	0.90	18.55	8.79	5.87
13.2407	1.39	107.39	10.86	3.70
0.10739	1.41	97.90	10.55	1.51
15.4951	1.41	97.90	10.55	1.51
40.4227	0.96	70.43	8.83	0.79
9.08962	0.92	87.89	12.35	1.44
76.6415	1.29	72.18	13.61	13.84
76.6415	1.52	134.46	13.71	25.74
218.445	1.52	134.46	13.71	25.74
236.104	1.52	134.46	13.71	25.74
105.716	0.91	108.75	8.13	3.69
0.355698	1.03	73.41	10.94	10.24
0	1.03	73.41	10.94	10.24
14.7206	1.03	73.41	10.94	10.24
5.21413	1.31	100.63	9.71	2.98
60.4377	1.31	100.63	9.71	2.98
26.9745	0.64	105.07	10.25	7.85
0.0906337	1.28	108.40	12.14	6.58
11.9485	1.28	108.40	12.14	6.58
11.6215	0.40	71.29	8.35	1.60
128.171	0.78	101.16	7.35	2.90
44.9931	1.42	129.22	13.10	5.00
14.3878	1.42	129.22	13.10	5.00
8.26475	1.43	33.22	11.12	4.57
6.62411	1.43	33.22	11.12	4.57
0.897231	2.61	19.95	6.65	2.78
185.2	0.82	88.16	11.00	8.61
35.4717	0.78	110.64	5.80	2.64
135.429	1.05	95.46	11.95	9.84
9.76308	1.05	95.46	11.95	9.84
2.41049e-06	1.05	95.46	11.95	9.84
20.7912	1.43	95.88	8.88	4.04
68.0082	1.17	91.23	9.08	4.09
10.2408	0.76	72.36	9.07	1.93
51.9117	1.34	82.90	9.51	6.29
22.4152	0.59	99.94	8.50	1.89
1502.3	1.08	85.69	10.90	15.36
8.60503	1.56	26.19	9.96	2.92
12.8818	3.35	74.43	3.91	3.15
46.8749	1.22	101.26	9.48	2.86
563.153	0.91	108.41	8.53	6.74
